acc_X(g),acc_Y(g),acc_Z(g),ang_X(g),ang_Y(g),ang_Z(g),Time,Cluster
-0.678,0.365,0.646,0.488,0.0,-1.16,2024-01-16 21:15:37.867,0
-0.678,0.365,0.646,0.488,0.0,-1.16,2024-01-16 21:15:37.867,0
-0.688,0.354,0.65,1.099,-0.305,-1.343,2024-01-16 21:15:37.997,0
-0.688,0.354,0.65,1.099,-0.305,-1.343,2024-01-16 21:15:37.997,0
-0.67,0.356,0.642,1.77,-0.183,-1.343,2024-01-16 21:15:38.710,0
-0.67,0.356,0.642,1.77,-0.183,-1.343,2024-01-16 21:15:38.710,0
-0.671,0.359,0.647,1.831,-1.343,-0.854,2024-01-16 21:15:38.189,0
-0.671,0.359,0.647,1.831,-1.343,-0.854,2024-01-16 21:15:38.189,0
-0.672,0.352,0.648,1.709,-2.014,1.038,2024-01-16 21:15:38.249,0
-0.672,0.352,0.648,1.709,-2.014,1.038,2024-01-16 21:15:38.250,0
-0.667,0.348,0.645,0.0,-1.953,2.686,2024-01-16 21:15:38.370,0
-0.667,0.348,0.645,0.0,-1.953,2.686,2024-01-16 21:15:38.371,0
-0.685,0.358,0.646,-1.16,-2.625,2.319,2024-01-16 21:15:38.481,0
-0.685,0.358,0.646,-1.16,-2.625,2.319,2024-01-16 21:15:38.482,0
-0.671,0.365,0.654,-1.465,-1.953,2.625,2024-01-16 21:15:38.580,0
-0.671,0.365,0.654,-1.465,-1.953,2.625,2024-01-16 21:15:38.580,0
-0.69,0.368,0.662,-1.831,-0.061,1.953,2024-01-16 21:15:38.680,0
-0.69,0.368,0.662,-1.831,-0.061,1.953,2024-01-16 21:15:38.680,0
-0.701,0.373,0.653,-0.183,2.136,2.258,2024-01-16 21:15:38.795,0
-0.701,0.373,0.653,-0.183,2.136,2.258,2024-01-16 21:15:38.795,0
-0.698,0.4,0.679,5.31,7.935,1.099,2024-01-16 21:15:38.850,0
-0.698,0.4,0.679,5.31,7.935,1.099,2024-01-16 21:15:38.850,0
-0.743,0.366,0.638,8.057,13.184,5.554,2024-01-16 21:15:39.100,0
-0.743,0.366,0.638,8.057,13.184,5.554,2024-01-16 21:15:39.100,0
-0.693,0.4,0.63,7.813,18.555,10.315,2024-01-16 21:15:39.710,0
-0.693,0.4,0.63,7.813,18.555,10.315,2024-01-16 21:15:39.710,0
-0.638,0.358,0.588,0.183,22.705,13.489,2024-01-16 21:15:39.181,0
-0.638,0.358,0.588,0.183,22.705,13.489,2024-01-16 21:15:39.181,0
-0.667,0.388,0.541,-1.648,11.597,12.451,2024-01-16 21:15:39.269,0
-0.667,0.388,0.541,-1.648,11.597,12.451,2024-01-16 21:15:39.269,0
-0.706,0.442,0.541,-9.155,3.723,10.559,2024-01-16 21:15:39.392,0
-0.706,0.442,0.541,-9.155,3.723,10.559,2024-01-16 21:15:39.392,0
-0.687,0.483,0.563,-5.92,0.427,7.263,2024-01-16 21:15:39.480,0
-0.687,0.483,0.563,-5.92,0.427,7.263,2024-01-16 21:15:39.480,0
-0.76,0.465,0.545,1.648,-0.671,-6.409,2024-01-16 21:15:39.599,0
-0.76,0.465,0.545,1.648,-0.671,-6.409,2024-01-16 21:15:39.599,0
-0.912,0.523,0.527,8.728,1.77,-6.958,2024-01-16 21:15:39.677,0
-0.912,0.523,0.527,8.728,1.77,-6.958,2024-01-16 21:15:39.678,0
-0.456,0.395,0.396,8.423,29.785,-1.77,2024-01-16 21:15:39.783,0
-0.456,0.395,0.396,8.423,29.785,-1.77,2024-01-16 21:15:39.783,0
0.044,0.511,0.318,14.404,59.937,-0.671,2024-01-16 21:15:39.871,0
0.044,0.511,0.318,14.404,59.937,-0.671,2024-01-16 21:15:39.871,0
-5.175,0.07,0.375,12.451,27.405,3.296,2024-01-16 21:15:39.992,0
-5.175,0.07,0.375,12.451,27.405,3.296,2024-01-16 21:15:39.992,0
-1.53,2.938,2.917,-7.019,-47.302,-21.79,2024-01-16 21:15:40.780,0
-1.53,2.938,2.917,-7.019,-47.302,-21.79,2024-01-16 21:15:40.780,0
-1.716,0.799,1.215,-51.758,-58.411,18.677,2024-01-16 21:15:40.199,0
-1.716,0.799,1.215,-51.758,-58.411,18.677,2024-01-16 21:15:40.201,0
-0.085,0.815,0.872,-37.659,-37.109,5.31,2024-01-16 21:15:40.272,0
-0.085,0.815,0.872,-37.659,-37.109,5.31,2024-01-16 21:15:40.273,0
0.015,0.07,-0.221,-8.24,35.461,28.015,2024-01-16 21:15:40.410,0
0.015,0.07,-0.221,-8.24,35.461,28.015,2024-01-16 21:15:40.411,0
0.184,-0.024,-0.328,38.574,-0.366,14.16,2024-01-16 21:15:40.481,0
0.184,-0.024,-0.328,38.574,-0.366,14.16,2024-01-16 21:15:40.481,0
0.005,-0.117,0.514,227.844,-292.48,-91.125,2024-01-16 21:15:40.588,0
0.005,-0.117,0.514,227.844,-292.48,-91.125,2024-01-16 21:15:40.588,0
-1.006,-0.118,0.134,39.063,258.484,-168.152,2024-01-16 21:15:40.677,0
-1.006,-0.118,0.134,39.063,258.484,-168.152,2024-01-16 21:15:40.678,0
-0.714,-1.13,2.053,319.58,-354.004,-331.177,2024-01-16 21:15:40.798,1
-0.714,-1.13,2.053,319.58,-354.004,-331.177,2024-01-16 21:15:40.798,1
-1.617,-0.063,1.125,10.376,-6.714,-1.587,2024-01-16 21:15:40.894,0
-1.617,-0.063,1.125,10.376,-6.714,-1.587,2024-01-16 21:15:40.894,0
-1.02,-0.251,1.019,28.442,-85.938,1.953,2024-01-16 21:15:41.900,1
-1.02,-0.251,1.019,28.442,-85.938,1.953,2024-01-16 21:15:41.900,1
-0.032,-0.063,0.061,4.822,-9.216,5.554,2024-01-16 21:15:41.730,0
-0.032,-0.063,0.061,4.822,-9.216,5.554,2024-01-16 21:15:41.730,0
0.013,-0.118,-0.542,-155.762,358.704,-3.967,2024-01-16 21:15:41.191,0
0.013,-0.118,-0.542,-155.762,358.704,-3.967,2024-01-16 21:15:41.192,0
0.029,-0.009,0.032,60.791,-163.94,-93.506,2024-01-16 21:15:41.280,0
0.029,-0.009,0.032,60.791,-163.94,-93.506,2024-01-16 21:15:41.281,0
-2.294,0.005,-0.052,123.291,-117.004,-58.96,2024-01-16 21:15:41.400,0
-2.294,0.005,-0.052,123.291,-117.004,-58.96,2024-01-16 21:15:41.400,0
-0.531,0.087,0.577,-58.96,-138.611,491.821,2024-01-16 21:15:41.490,0
-0.531,0.087,0.577,-58.96,-138.611,491.821,2024-01-16 21:15:41.490,0
-1.408,-0.001,1.94,-8.667,21.423,2.625,2024-01-16 21:15:41.609,1
-1.408,-0.001,1.94,-8.667,21.423,2.625,2024-01-16 21:15:41.610,1
-0.13,-0.6,1.049,1.038,-41.87,5.554,2024-01-16 21:15:41.679,1
-0.13,-0.6,1.049,1.038,-41.87,5.554,2024-01-16 21:15:41.680,1
0.017,-0.035,-0.063,-15.198,25.146,3.54,2024-01-16 21:15:41.822,0
0.017,-0.035,-0.063,-15.198,25.146,3.54,2024-01-16 21:15:41.822,0
0.334,-0.071,-0.251,-180.786,303.101,-36.377,2024-01-16 21:15:41.893,0
0.334,-0.071,-0.251,-180.786,303.101,-36.377,2024-01-16 21:15:41.893,0
-0.291,0.31,0.352,-22.461,-660.034,29.053,2024-01-16 21:15:41.998,0
-0.291,0.31,0.352,-22.461,-660.034,29.053,2024-01-16 21:15:41.998,0
-2.969,-0.288,0.192,294.922,-253.967,-104.492,2024-01-16 21:15:42.940,0
-2.969,-0.288,0.192,294.922,-253.967,-104.492,2024-01-16 21:15:42.940,0
-0.679,-0.73,1.144,-95.032,-355.286,396.79,2024-01-16 21:15:42.212,1
-0.679,-0.73,1.144,-95.032,-355.286,396.79,2024-01-16 21:15:42.212,1
-0.544,-0.028,0.668,-16.968,-1.77,15.076,2024-01-16 21:15:42.301,0
-0.544,-0.028,0.668,-16.968,-1.77,15.076,2024-01-16 21:15:42.301,0
-0.325,-0.18,0.441,10.01,-13.672,-6.104,2024-01-16 21:15:42.421,0
-0.325,-0.18,0.441,10.01,-13.672,-6.104,2024-01-16 21:15:42.421,0
-0.773,-0.117,0.155,7.629,-6.836,-9.277,2024-01-16 21:15:42.481,0
-0.773,-0.117,0.155,7.629,-6.836,-9.277,2024-01-16 21:15:42.481,0
-0.532,-0.299,0.799,12.085,-16.663,-7.568,2024-01-16 21:15:42.602,1
-0.532,-0.299,0.799,12.085,-16.663,-7.568,2024-01-16 21:15:42.602,1
-0.47,-0.191,0.624,-2.991,12.634,-13.184,2024-01-16 21:15:42.692,1
-0.47,-0.191,0.624,-2.991,12.634,-13.184,2024-01-16 21:15:42.692,1
-0.893,-0.099,0.787,21.79,-18.738,-13.916,2024-01-16 21:15:42.813,0
-0.893,-0.099,0.787,21.79,-18.738,-13.916,2024-01-16 21:15:42.813,0
-0.553,-0.374,0.639,10.559,0.916,-16.113,2024-01-16 21:15:42.902,1
-0.553,-0.374,0.639,10.559,0.916,-16.113,2024-01-16 21:15:42.903,1
-0.81,-0.152,0.757,11.841,-4.15,-9.399,2024-01-16 21:15:43.230,0
-0.81,-0.152,0.757,11.841,-4.15,-9.399,2024-01-16 21:15:43.230,0
-0.641,-0.328,0.736,9.888,5.554,-10.132,2024-01-16 21:15:43.780,1
-0.641,-0.328,0.736,9.888,5.554,-10.132,2024-01-16 21:15:43.780,1
-0.708,-0.208,0.713,1.77,8.118,-2.014,2024-01-16 21:15:43.232,1
-0.708,-0.208,0.713,1.77,8.118,-2.014,2024-01-16 21:15:43.232,1
-0.654,-0.24,0.719,1.77,10.071,-1.16,2024-01-16 21:15:43.295,1
-0.654,-0.24,0.719,1.77,10.071,-1.16,2024-01-16 21:15:43.296,1
-0.679,-0.182,0.717,3.296,9.705,-2.502,2024-01-16 21:15:43.409,1
-0.679,-0.182,0.717,3.296,9.705,-2.502,2024-01-16 21:15:43.409,1
-0.687,-0.239,0.699,2.563,5.798,-2.686,2024-01-16 21:15:43.501,1
-0.687,-0.239,0.699,2.563,5.798,-2.686,2024-01-16 21:15:43.501,1
-0.674,-0.217,0.684,4.7,6.104,-7.813,2024-01-16 21:15:43.623,1
-0.674,-0.217,0.684,4.7,6.104,-7.813,2024-01-16 21:15:43.623,1
-0.682,-0.214,0.69,9.46,2.747,-12.207,2024-01-16 21:15:43.712,1
-0.682,-0.214,0.69,9.46,2.747,-12.207,2024-01-16 21:15:43.713,1
-0.684,-0.263,0.685,8.789,1.282,-11.658,2024-01-16 21:15:43.832,1
-0.684,-0.263,0.685,8.789,1.282,-11.658,2024-01-16 21:15:43.832,1
-0.672,-0.235,0.703,4.578,0.549,-8.606,2024-01-16 21:15:43.892,1
-0.672,-0.235,0.703,4.578,0.549,-8.606,2024-01-16 21:15:43.892,1
-0.679,-0.263,0.677,6.958,2.014,-9.033,2024-01-16 21:15:44.110,1
-0.679,-0.263,0.677,6.958,2.014,-9.033,2024-01-16 21:15:44.110,1
-0.708,-0.271,0.704,2.625,0.732,-5.188,2024-01-16 21:15:44.101,1
-0.708,-0.271,0.704,2.625,0.732,-5.188,2024-01-16 21:15:44.101,1
-0.681,-0.248,0.696,0.854,1.892,-4.028,2024-01-16 21:15:44.223,1
-0.681,-0.248,0.696,0.854,1.892,-4.028,2024-01-16 21:15:44.223,1
-0.65,-0.233,0.697,1.099,3.235,-4.578,2024-01-16 21:15:44.309,1
-0.65,-0.233,0.697,1.099,3.235,-4.578,2024-01-16 21:15:44.309,1
-0.669,-0.217,0.694,7.263,2.93,-8.362,2024-01-16 21:15:44.432,1
-0.669,-0.217,0.694,7.263,2.93,-8.362,2024-01-16 21:15:44.432,1
-0.688,-0.275,0.691,8.911,0.732,-5.371,2024-01-16 21:15:44.492,1
-0.688,-0.275,0.691,8.911,0.732,-5.371,2024-01-16 21:15:44.492,1
-0.684,-0.281,0.687,5.249,1.038,-1.099,2024-01-16 21:15:44.641,1
-0.684,-0.281,0.687,5.249,1.038,-1.099,2024-01-16 21:15:44.642,1
-0.692,-0.253,0.696,1.282,0.61,1.465,2024-01-16 21:15:44.699,1
-0.692,-0.253,0.696,1.282,0.61,1.465,2024-01-16 21:15:44.699,1
-0.665,-0.254,0.688,-0.366,0.183,1.831,2024-01-16 21:15:44.821,1
-0.665,-0.254,0.688,-0.366,0.183,1.831,2024-01-16 21:15:44.822,1
-0.696,-0.237,0.684,-1.404,-0.671,0.366,2024-01-16 21:15:44.943,1
-0.696,-0.237,0.684,-1.404,-0.671,0.366,2024-01-16 21:15:44.943,1
-0.713,-0.252,0.678,-1.831,-1.465,-0.244,2024-01-16 21:15:45.310,1
-0.713,-0.252,0.678,-1.831,-1.465,-0.244,2024-01-16 21:15:45.310,1
-0.699,-0.257,0.684,-2.136,-0.061,0.061,2024-01-16 21:15:45.124,1
-0.699,-0.257,0.684,-2.136,-0.061,0.061,2024-01-16 21:15:45.124,1
-0.708,-0.256,0.674,-3.784,0.366,1.16,2024-01-16 21:15:45.244,1
-0.708,-0.256,0.674,-3.784,0.366,1.16,2024-01-16 21:15:45.245,1
-0.657,-0.251,0.686,-1.343,3.113,-1.77,2024-01-16 21:15:45.302,1
-0.657,-0.251,0.686,-1.343,3.113,-1.77,2024-01-16 21:15:45.302,1
-0.681,-0.255,0.681,-0.854,1.526,-1.343,2024-01-16 21:15:45.420,1
-0.681,-0.255,0.681,-0.854,1.526,-1.343,2024-01-16 21:15:45.421,1
-0.681,-0.251,0.689,-0.488,-0.244,-0.854,2024-01-16 21:15:45.513,1
-0.681,-0.251,0.689,-0.488,-0.244,-0.854,2024-01-16 21:15:45.513,1
-0.681,-0.261,0.685,0.854,-0.793,-0.854,2024-01-16 21:15:45.631,1
-0.681,-0.261,0.685,0.854,-0.793,-0.854,2024-01-16 21:15:45.632,1
-0.685,-0.261,0.688,0.122,-2.075,0.671,2024-01-16 21:15:45.723,1
-0.685,-0.261,0.688,0.122,-2.075,0.671,2024-01-16 21:15:45.723,1
-0.676,-0.262,0.689,-0.061,-0.977,0.854,2024-01-16 21:15:45.843,1
-0.676,-0.262,0.689,-0.061,-0.977,0.854,2024-01-16 21:15:45.843,1
-0.682,-0.256,0.686,-0.244,-0.427,1.221,2024-01-16 21:15:45.900,1
-0.682,-0.256,0.686,-0.244,-0.427,1.221,2024-01-16 21:15:45.900,1
-0.689,-0.253,0.688,-0.549,-0.549,1.831,2024-01-16 21:15:46.101,1
-0.689,-0.253,0.688,-0.549,-0.549,1.831,2024-01-16 21:15:46.101,1
-0.686,-0.25,0.69,-0.244,0.732,1.404,2024-01-16 21:15:46.111,1
-0.686,-0.25,0.69,-0.244,0.732,1.404,2024-01-16 21:15:46.111,1
-0.69,-0.252,0.681,-0.549,-0.244,1.404,2024-01-16 21:15:46.232,1
-0.69,-0.252,0.681,-0.549,-0.244,1.404,2024-01-16 21:15:46.233,1
-0.685,-0.252,0.685,-0.305,-0.244,0.183,2024-01-16 21:15:46.322,1
-0.685,-0.252,0.685,-0.305,-0.244,0.183,2024-01-16 21:15:46.323,1
-0.681,-0.249,0.685,-0.305,-0.061,-0.122,2024-01-16 21:15:46.441,1
-0.681,-0.249,0.685,-0.305,-0.061,-0.122,2024-01-16 21:15:46.442,1
-0.68,-0.25,0.685,0.122,0.61,-0.671,2024-01-16 21:15:46.534,1
-0.68,-0.25,0.685,0.122,0.61,-0.671,2024-01-16 21:15:46.535,1
-0.663,-0.226,0.69,2.747,1.404,-1.343,2024-01-16 21:15:46.657,1
-0.663,-0.226,0.69,2.747,1.404,-1.343,2024-01-16 21:15:46.657,1
-0.679,-0.278,0.678,2.686,-1.282,0.671,2024-01-16 21:15:46.711,1
-0.679,-0.278,0.678,2.686,-1.282,0.671,2024-01-16 21:15:46.711,1
-0.684,-0.269,0.686,-2.38,-2.991,2.869,2024-01-16 21:15:46.831,1
-0.684,-0.269,0.686,-2.38,-2.991,2.869,2024-01-16 21:15:46.832,1
-0.688,-0.249,0.69,-3.967,-3.418,2.869,2024-01-16 21:15:46.921,1
-0.688,-0.249,0.69,-3.967,-3.418,2.869,2024-01-16 21:15:46.922,1
-0.688,-0.206,0.687,0.305,-2.136,2.136,2024-01-16 21:15:47.410,1
-0.688,-0.206,0.687,0.305,-2.136,2.136,2024-01-16 21:15:47.420,1
-0.647,-0.248,0.704,1.648,-2.197,-2.502,2024-01-16 21:15:47.131,1
-0.647,-0.248,0.704,1.648,-2.197,-2.502,2024-01-16 21:15:47.131,1
-0.655,-0.268,0.699,2.747,-0.671,-3.967,2024-01-16 21:15:47.251,1
-0.655,-0.268,0.699,2.747,-0.671,-3.967,2024-01-16 21:15:47.251,1
-0.67,-0.26,0.701,-0.122,-2.93,-0.244,2024-01-16 21:15:47.310,1
-0.67,-0.26,0.701,-0.122,-2.93,-0.244,2024-01-16 21:15:47.310,1
-0.669,-0.25,0.703,-3.296,-3.113,4.517,2024-01-16 21:15:47.472,1
-0.669,-0.25,0.703,-3.296,-3.113,4.517,2024-01-16 21:15:47.472,1
-0.656,-0.238,0.713,-5.615,-1.648,6.531,2024-01-16 21:15:47.523,1
-0.656,-0.238,0.713,-5.615,-1.648,6.531,2024-01-16 21:15:47.523,1
-0.659,-0.235,0.71,-3.967,-0.854,4.456,2024-01-16 21:15:47.642,1
-0.659,-0.235,0.71,-3.967,-0.854,4.456,2024-01-16 21:15:47.642,1
-0.663,-0.241,0.703,-2.502,-0.671,2.625,2024-01-16 21:15:47.790,1
-0.663,-0.241,0.703,-2.502,-0.671,2.625,2024-01-16 21:15:47.790,1
-0.67,-0.24,0.708,-1.099,-1.404,0.854,2024-01-16 21:15:47.853,1
-0.67,-0.24,0.708,-1.099,-1.404,0.854,2024-01-16 21:15:47.853,1
-0.672,-0.239,0.708,-0.366,-0.488,-0.061,2024-01-16 21:15:47.942,1
-0.672,-0.239,0.708,-0.366,-0.488,-0.061,2024-01-16 21:15:47.942,1
-0.667,-0.244,0.707,0.122,0.732,-1.16,2024-01-16 21:15:48.790,1
