acc_X(g)	acc_Y(g)	acc_Z(g)	Time	Cluster
-0.388	0.784	0.486	2024-01-02 18:01:07.170	1
-0.388	0.783	0.485	2024-01-02 18:01:07.138	1
-0.388	0.784	0.486	2024-01-02 18:01:07.225	1
-0.388	0.784	0.486	2024-01-02 18:01:07.343	1
-0.387	0.783	0.486	2024-01-02 18:01:07.435	1
-0.388	0.784	0.486	2024-01-02 18:01:07.558	1
-0.387	0.784	0.485	2024-01-02 18:01:07.644	1
-0.389	0.784	0.485	2024-01-02 18:01:07.768	1
-0.388	0.784	0.486	2024-01-02 18:01:07.828	1
-0.388	0.783	0.486	2024-01-02 18:01:07.945	1
-0.388	0.784	0.486	2024-01-02 18:01:08.380	1
-0.387	0.785	0.485	2024-01-02 18:01:08.157	1
-0.388	0.784	0.486	2024-01-02 18:01:08.247	1
-0.388	0.784	0.487	2024-01-02 18:01:08.365	1
-0.388	0.784	0.485	2024-01-02 18:01:08.427	1
-0.387	0.784	0.487	2024-01-02 18:01:08.547	1
-0.388	0.784	0.485	2024-01-02 18:01:08.638	1
-0.387	0.785	0.486	2024-01-02 18:01:08.758	1
-0.388	0.784	0.486	2024-01-02 18:01:08.848	1
-0.388	0.784	0.486	2024-01-02 18:01:08.968	1
-0.387	0.784	0.486	2024-01-02 18:01:09.570	1
-0.387	0.784	0.485	2024-01-02 18:01:09.178	1
-0.388	0.785	0.486	2024-01-02 18:01:09.239	1
-0.388	0.784	0.486	2024-01-02 18:01:09.357	1
-0.388	0.784	0.486	2024-01-02 18:01:09.448	1
-0.388	0.784	0.487	2024-01-02 18:01:09.568	1
-0.388	0.784	0.485	2024-01-02 18:01:09.658	1
-0.387	0.783	0.486	2024-01-02 18:01:09.778	1
-0.388	0.784	0.486	2024-01-02 18:01:09.838	1
-0.387	0.784	0.486	2024-01-02 18:01:09.957	1
-0.388	0.784	0.485	2024-01-02 18:01:10.470	1
-0.388	0.784	0.485	2024-01-02 18:01:10.197	1
-0.388	0.784	0.487	2024-01-02 18:01:10.257	1
-0.388	0.784	0.486	2024-01-02 18:01:10.378	1
-0.387	0.784	0.485	2024-01-02 18:01:10.468	1
-0.387	0.784	0.486	2024-01-02 18:01:10.587	1
-0.388	0.784	0.486	2024-01-02 18:01:10.647	1
-0.388	0.784	0.485	2024-01-02 18:01:10.797	1
-0.388	0.784	0.487	2024-01-02 18:01:10.858	1
-0.388	0.784	0.486	2024-01-02 18:01:10.980	1
-0.388	0.784	0.485	2024-01-02 18:01:11.670	1
-0.387	0.784	0.487	2024-01-02 18:01:11.188	1
-0.388	0.785	0.486	2024-01-02 18:01:11.249	1
-0.387	0.784	0.486	2024-01-02 18:01:11.367	1
-0.388	0.784	0.485	2024-01-02 18:01:11.458	1
-0.388	0.785	0.486	2024-01-02 18:01:11.580	1
-0.388	0.783	0.487	2024-01-02 18:01:11.668	1
-0.387	0.784	0.486	2024-01-02 18:01:11.787	1
-0.387	0.784	0.485	2024-01-02 18:01:11.908	1
-0.388	0.784	0.486	2024-01-02 18:01:11.997	1
-0.387	0.784	0.486	2024-01-02 18:01:12.590	1
