时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	四元数0()	四元数1()	四元数2()	四元数3()	温度(°C)	版本号()	电量(%)
2024-1-16 20:42:9:954	WT901BLE67(D1376ACA69A3)	0.733	0.384	0.546	-4.089	0.854	0.427	34.93	-48.10	-34.67	-126.375	65.983	11.725	-0.86862	-0.14520	0.45367	0.13586	24.4	10080.1.7	100
2024-1-16 20:42:10:10	WT901BLE67(D1376ACA69A3)	0.707	0.379	0.563	-7.202	0.916	-1.099	34.26	-47.98	-34.55	-126.375	65.983	11.725	-0.86862	-0.14520	0.45367	0.13586	24.4	10080.1.7	100
2024-1-16 20:42:10:132	WT901BLE67(D1376ACA69A3)	0.734	0.393	0.554	-16.602	-0.977	-0.793	33.01	-47.92	-34.74	-126.375	65.983	11.725	-0.86993	-0.13699	0.44989	0.14819	24.4	10080.1.7	100
2024-1-16 20:42:10:222	WT901BLE67(D1376ACA69A3)	0.692	0.397	0.578	-12.390	5.310	5.798	31.18	-47.76	-34.15	-126.375	65.983	11.725	-0.86993	-0.13699	0.44989	0.14819	24.4	10080.1.7	100
2024-1-16 20:42:10:342	WT901BLE67(D1376ACA69A3)	0.721	0.399	0.563	-2.136	9.949	20.874	28.88	-47.86	-31.86	-126.375	68.975	11.717	-0.86993	-0.13699	0.44989	0.14819	24.4	10080.1.7	100
2024-1-16 20:42:10:431	WT901BLE67(D1376ACA69A3)	0.706	0.322	0.578	-1.343	13.062	21.729	26.15	-47.74	-28.16	-126.375	68.975	11.717	-0.86993	-0.13699	0.44989	0.14819	24.4	10080.1.7	100
2024-1-16 20:42:10:567	WT901BLE67(D1376ACA69A3)	0.749	0.268	0.620	-2.563	14.038	20.813	23.44	-47.33	-24.80	-126.375	68.975	11.717	-0.88913	-0.10193	0.42914	0.12170	24.4	10080.1.7	100
2024-1-16 20:42:10:613	WT901BLE67(D1376ACA69A3)	0.752	0.206	0.653	-4.089	10.986	14.587	21.00	-46.79	-21.82	-126.375	68.975	11.717	-0.88913	-0.10193	0.42914	0.12170	24.4	10080.1.7	100
2024-1-16 20:42:10:732	WT901BLE67(D1376ACA69A3)	0.729	0.235	0.646	-2.869	7.507	10.925	19.05	-46.39	-19.67	-120.400	74.867	7.933	-0.88913	-0.10193	0.42914	0.12170	24.4	10080.1.7	100
2024-1-16 20:42:10:821	WT901BLE67(D1376ACA69A3)	0.746	0.187	0.659	0.427	4.089	9.521	17.81	-46.24	-17.96	-120.400	74.867	7.933	-0.88913	-0.10193	0.42914	0.12170	24.4	10080.1.7	100
2024-1-16 20:42:10:942	WT901BLE67(D1376ACA69A3)	0.759	0.172	0.661	-0.244	0.305	4.333	17.12	-46.25	-17.01	-120.400	74.867	7.933	-0.90738	-0.07944	0.40482	0.07977	24.4	10080.1.7	100
2024-1-16 20:42:11:29	WT901BLE67(D1376ACA69A3)	0.747	0.189	0.665	-2.258	-4.944	-4.456	17.08	-46.51	-17.19	-120.400	74.867	7.933	-0.90738	-0.07944	0.40482	0.07977	24.4	10080.1.7	100
2024-1-16 20:42:11:151	WT901BLE67(D1376ACA69A3)	0.754	0.214	0.650	2.869	-10.925	-8.789	18.09	-47.16	-18.54	-117.917	76.900	7.617	-0.90738	-0.07944	0.40482	0.07977	24.4	10080.1.7	100
2024-1-16 20:42:11:240	WT901BLE67(D1376ACA69A3)	0.729	0.213	0.643	4.089	-13.184	-12.268	19.98	-47.93	-20.58	-117.917	76.900	7.617	-0.90738	-0.07944	0.40482	0.07977	24.4	10080.1.7	100
2024-1-16 20:42:11:364	WT901BLE67(D1376ACA69A3)	0.697	0.211	0.621	-5.127	-16.296	-19.836	22.23	-48.76	-23.49	-117.917	76.900	7.617	-0.89514	-0.08725	0.42639	0.09598	24.4	10080.1.7	100
2024-1-16 20:42:11:423	WT901BLE67(D1376ACA69A3)	0.636	0.378	0.578	-14.404	-15.076	-26.855	24.39	-49.21	-27.85	-117.917	76.900	7.617	-0.89514	-0.08725	0.42639	0.09598	24.4	10080.1.7	100
2024-1-16 20:42:11:542	WT901BLE67(D1376ACA69A3)	0.689	0.413	0.584	-8.789	-1.404	-7.019	25.57	-49.13	-30.85	-124.333	73.450	10.642	-0.89514	-0.08725	0.42639	0.09598	24.4	10080.1.7	100
