时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	四元数0()	四元数1()	四元数2()	四元数3()	温度(°C)	版本号()	电量(%)
2024-1-4 12:45:34:126	WT901BLE67(D1376ACA69A3)	-0.646	0.445	-0.610	-0.061	-1.099	0.549	143.23	41.36	-141.80	253.833	-212.083	254.425	0.21994	-0.39630	0.80234	0.38824	22.3	10080.1.7	30
2024-1-4 12:45:34:126	WT901BLE67(D1376ACA69A3)	-0.646	0.445	-0.610	-0.061	-1.099	0.549	143.23	41.36	-141.80	253.833	-212.083	254.425	0.22137	-0.39584	0.80087	0.39087	null	10080.1.7	null
2024-1-4 12:45:34:215	WT901BLE67(D1376ACA69A3)	-0.657	0.447	-0.609	0.305	-1.343	0.793	143.12	41.44	-141.99	253.833	-212.083	254.425	0.22034	-0.39554	0.80243	0.38855	22.3	10080.1.7	30
2024-1-4 12:45:34:215	WT901BLE67(D1376ACA69A3)	-0.657	0.447	-0.609	0.305	-1.343	0.793	143.12	41.44	-141.99	253.833	-212.083	254.425	0.22034	-0.39554	0.80243	0.38855	null	10080.1.7	null
2024-1-4 12:45:34:337	WT901BLE67(D1376ACA69A3)	-0.656	0.449	-0.611	0.977	-0.610	0.977	143.08	41.45	-142.13	253.833	-212.083	254.425	0.22034	-0.39554	0.80243	0.38855	22.3	10080.1.7	30
2024-1-4 12:45:34:338	WT901BLE67(D1376ACA69A3)	-0.656	0.449	-0.611	0.977	-0.610	0.977	143.08	41.45	-142.13	253.833	-212.083	254.425	0.22034	-0.39554	0.80243	0.38855	null	10080.1.7	null
2024-1-4 12:45:34:395	WT901BLE67(D1376ACA69A3)	-0.661	0.455	-0.609	0.488	-0.183	0.244	143.10	41.42	-142.22	253.833	-212.083	254.425	0.22141	-0.39377	0.80283	0.38895	22.3	10080.1.7	30
2024-1-4 12:45:34:396	WT901BLE67(D1376ACA69A3)	-0.661	0.455	-0.609	0.488	-0.183	0.244	143.10	41.42	-142.22	253.833	-212.083	254.425	0.22141	-0.39377	0.80283	0.38895	null	10080.1.7	null
2024-1-4 12:45:34:515	WT901BLE67(D1376ACA69A3)	-0.661	0.456	-0.605	-0.061	-0.122	0.000	143.10	41.41	-142.25	253.833	-212.083	254.425	0.22141	-0.39377	0.80283	0.38895	22.3	10080.1.7	30
2024-1-4 12:45:34:516	WT901BLE67(D1376ACA69A3)	-0.661	0.456	-0.605	-0.061	-0.122	0.000	143.10	41.41	-142.25	253.833	-212.083	254.425	0.22141	-0.39377	0.80283	0.38895	null	10080.1.7	null
2024-1-4 12:45:34:610	WT901BLE67(D1376ACA69A3)	-0.661	0.455	-0.607	-0.671	-0.488	-0.244	143.04	41.45	-142.27	253.592	-212.483	254.408	0.22141	-0.39377	0.80283	0.38895	22.3	10080.1.7	30
2024-1-4 12:45:34:610	WT901BLE67(D1376ACA69A3)	-0.661	0.455	-0.607	-0.671	-0.488	-0.244	143.04	41.45	-142.27	253.592	-212.483	254.408	0.22141	-0.39377	0.80283	0.38895	null	10080.1.7	null
2024-1-4 12:45:34:727	WT901BLE67(D1376ACA69A3)	-0.658	0.449	-0.609	-0.854	-0.366	-0.427	142.95	41.50	-142.26	253.592	-212.483	254.408	0.22141	-0.39377	0.80283	0.38895	22.3	10080.1.7	30
2024-1-4 12:45:34:727	WT901BLE67(D1376ACA69A3)	-0.658	0.449	-0.609	-0.854	-0.366	-0.427	142.95	41.50	-142.26	253.592	-212.483	254.408	0.22141	-0.39377	0.80283	0.38895	null	10080.1.7	null
2024-1-4 12:45:34:817	WT901BLE67(D1376ACA69A3)	-0.667	0.453	-0.604	-0.671	-0.732	-0.366	142.90	41.57	-142.26	253.592	-212.483	254.408	0.22183	-0.39328	0.80252	0.38983	22.3	10080.1.7	30
2024-1-4 12:45:34:817	WT901BLE67(D1376ACA69A3)	-0.667	0.453	-0.604	-0.671	-0.732	-0.366	142.90	41.57	-142.26	253.592	-212.483	254.408	0.22183	-0.39328	0.80252	0.38983	null	10080.1.7	null
2024-1-4 12:45:34:938	WT901BLE67(D1376ACA69A3)	-0.662	0.449	-0.601	0.000	-0.305	-0.183	142.89	41.59	-142.23	253.592	-212.483	254.408	0.22183	-0.39328	0.80252	0.38983	22.3	10080.1.7	30
2024-1-4 12:45:34:939	WT901BLE67(D1376ACA69A3)	-0.662	0.449	-0.601	0.000	-0.305	-0.183	142.89	41.59	-142.23	253.592	-212.483	254.408	0.22183	-0.39328	0.80252	0.38983	null	10080.1.7	null
2024-1-4 12:45:34:995	WT901BLE67(D1376ACA69A3)	-0.663	0.454	-0.603	0.061	-0.427	-0.122	142.89	41.63	-142.25	253.592	-212.483	254.408	0.22183	-0.39328	0.80252	0.38983	22.3	10080.1.7	30
2024-1-4 12:45:34:996	WT901BLE67(D1376ACA69A3)	-0.663	0.454	-0.603	0.061	-0.427	-0.122	142.89	41.63	-142.25	253.592	-212.483	254.408	0.22232	-0.39368	0.80191	0.39038	null	10080.1.7	null
2024-1-4 12:45:35:147	WT901BLE67(D1376ACA69A3)	-0.664	0.452	-0.601	0.061	-0.244	-0.305	142.89	41.66	-142.26	253.592	-212.483	254.408	0.22232	-0.39368	0.80191	0.39038	22.3	10080.1.7	30
2024-1-4 12:45:35:147	WT901BLE67(D1376ACA69A3)	-0.664	0.452	-0.601	0.061	-0.244	-0.305	142.89	41.66	-142.26	253.592	-212.483	254.408	0.22232	-0.39368	0.80191	0.39038	null	10080.1.7	null
2024-1-4 12:45:35:207	WT901BLE67(D1376ACA69A3)	-0.661	0.453	-0.602	0.366	-0.061	-0.366	142.91	41.69	-142.25	253.592	-212.483	254.408	0.22284	-0.39362	0.80179	0.39044	22.3	10080.1.7	30
2024-1-4 12:45:35:207	WT901BLE67(D1376ACA69A3)	-0.661	0.453	-0.602	0.366	-0.061	-0.366	142.91	41.69	-142.25	253.592	-212.483	254.408	0.22284	-0.39362	0.80179	0.39044	null	10080.1.7	null
2024-1-4 12:45:35:328	WT901BLE67(D1376ACA69A3)	-0.668	0.449	-0.598	0.427	0.000	-0.488	142.96	41.72	-142.21	253.592	-212.483	254.408	0.22284	-0.39362	0.80179	0.39044	22.3	10080.1.7	30
2024-1-4 12:45:35:328	WT901BLE67(D1376ACA69A3)	-0.668	0.449	-0.598	0.427	0.000	-0.488	142.96	41.72	-142.21	253.592	-212.483	254.408	0.22284	-0.39362	0.80179	0.39044	null	10080.1.7	null
2024-1-4 12:45:35:414	WT901BLE67(D1376ACA69A3)	-0.662	0.453	-0.600	0.427	-0.061	-0.671	143.05	41.75	-142.14	253.717	-212.675	254.400	0.22284	-0.39362	0.80179	0.39044	22.3	10080.1.7	30
2024-1-4 12:45:35:414	WT901BLE67(D1376ACA69A3)	-0.662	0.453	-0.600	0.427	-0.061	-0.671	143.05	41.75	-142.14	253.717	-212.675	254.400	0.22284	-0.39362	0.80179	0.39044	null	10080.1.7	null
2024-1-4 12:45:35:539	WT901BLE67(D1376ACA69A3)	-0.661	0.446	-0.603	0.366	0.671	-0.488	143.14	41.76	-142.05	253.717	-212.675	254.400	0.22284	-0.39362	0.80179	0.39044	22.3	10080.1.7	30
2024-1-4 12:45:35:540	WT901BLE67(D1376ACA69A3)	-0.661	0.446	-0.603	0.366	0.671	-0.488	143.14	41.76	-142.05	253.717	-212.675	254.400	0.22284	-0.39362	0.80179	0.39044	null	10080.1.7	null
2024-1-4 12:45:35:686	WT901BLE67(D1376ACA69A3)	-0.663	0.448	-0.605	0.732	0.793	-0.183	143.26	41.71	-141.97	253.717	-212.675	254.400	0.22366	-0.39481	0.80161	0.38910	22.3	10080.1.7	30
2024-1-4 12:45:35:686	WT901BLE67(D1376ACA69A3)	-0.663	0.448	-0.605	0.732	0.793	-0.183	143.26	41.71	-141.97	253.717	-212.675	254.400	0.22366	-0.39481	0.80161	0.38910	null	10080.1.7	null
2024-1-4 12:45:35:748	WT901BLE67(D1376ACA69A3)	-0.657	0.447	-0.610	0.610	1.160	-0.061	143.39	41.62	-141.87	253.717	-212.675	254.400	0.22366	-0.39481	0.80161	0.38910	22.3	10080.1.7	30
2024-1-4 12:45:35:749	WT901BLE67(D1376ACA69A3)	-0.657	0.447	-0.610	0.610	1.160	-0.061	143.39	41.62	-141.87	253.717	-212.675	254.400	0.22366	-0.39481	0.80161	0.38910	null	10080.1.7	null
2024-1-4 12:45:35:813	WT901BLE67(D1376ACA69A3)	-0.659	0.445	-0.614	1.038	0.977	0.366	143.51	41.51	-141.81	253.717	-212.675	254.400	0.22366	-0.39481	0.80161	0.38910	22.3	10080.1.7	30
2024-1-4 12:45:35:814	WT901BLE67(D1376ACA69A3)	-0.659	0.445	-0.614	1.038	0.977	0.366	143.51	41.51	-141.81	254.042	-212.025	254.425	0.22366	-0.39481	0.80161	0.38910	null	10080.1.7	null
2024-1-4 12:45:35:926	WT901BLE67(D1376ACA69A3)	-0.667	0.446	-0.617	0.793	0.854	0.305	143.64	41.41	-141.77	254.042	-212.025	254.425	0.22366	-0.39481	0.80161	0.38910	22.3	10080.1.7	30
2024-1-4 12:45:35:927	WT901BLE67(D1376ACA69A3)	-0.667	0.446	-0.617	0.793	0.854	0.305	143.64	41.41	-141.77	254.042	-212.025	254.425	0.22366	-0.39481	0.80161	0.38910	null	10080.1.7	null
2024-1-4 12:45:36:76	WT901BLE67(D1376ACA69A3)	-0.658	0.449	-0.620	0.366	0.305	-0.061	143.72	41.35	-141.73	254.042	-212.025	254.425	0.22174	-0.39523	0.80359	0.38568	22.3	10080.1.7	30
2024-1-4 12:45:36:77	WT901BLE67(D1376ACA69A3)	-0.658	0.449	-0.620	0.366	0.305	-0.061	143.72	41.35	-141.73	254.042	-212.025	254.425	0.22174	-0.39523	0.80359	0.38568	null	10080.1.7	null
2024-1-4 12:45:36:137	WT901BLE67(D1376ACA69A3)	-0.657	0.439	-0.617	-0.244	0.488	-0.854	143.75	41.36	-141.66	254.042	-212.025	254.425	0.22174	-0.39523	0.80359	0.38568	22.3	10080.1.7	30
